,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
563,США,Самолетный тип,127,Нет данных,800,3100,Пусковая установка,На фюзеляж,ДВС,2.57,320,Снято с производства,Boeing,Нет данных,Нет данных,Нет данных,,
564,СССР,Самолетный тип,4650,0.92,Нет данных,13000,Шасси,Шасси,Газотурбинный,10.08,950,Снято с производства,МиГ,Нет данных,Нет данных,Нет данных,,
565,США,Самолетный тип,27,Нет данных,50,4100,Шасси,Шасси,ДВС,3.7,160,В разработке,Boeing,Нет данных,Нет данных,Нет данных,,
566,США,Самолетный тип,Нет данных,3,120,15300,Пусковая установка,На фюзеляж,Газотурбинный,3.3,1050,В производстве,Boeing,Нет данных,Нет данных,Нет данных,,
567,США,Вертолетный тип,30,10,8,250,Вертикальный,Вертикальный,ДВС,,120,В производстве,Drone Aviation Corp,Нет данных,Нет данных,Нет данных,Нет данных,
568,Канада,Вертолетный тип,17.2,144,,1000,Вертикальный,Вертикальный,Электрический,,83,В производстве,Aethon Technologies,4.6,GPS,,1.83,
569,Россия,Коптерный тип,1.5,1.5,2.5,500,Вертикальный,Вертикальный,Электрический,,40,В производстве,МИИГАИК,0.7,"GPS, Инерциальная навигация",–20°С..+30°С,,
570,США,Самолетный тип,43,Нет данных,50,3000,Пусковая установка,На фюзеляж,ДВС,2.5,130,В производстве,BAI Aerosystems,Нет данных,Нет данных,Нет данных,,
571,Россия,Коптерный тип,7.5,,10,1000,Вертикальный,Вертикальный,Электрический,,40,В производстве,МИИГАИК,,,,,
572,США,Самолетный тип,5.4,4,37,4200,Шасси,Шасси,ДВС,1.22,115,В производстве,Mission Technologies,Нет данных,Нет данных,Нет данных,,
573,Канада,Вертолетный тип,340,8,200,5485,Вертикальный,Вертикальный,Газотурбинный,,222,В разработке,Bombardier,68,,,4,
574,Россия,Самолетный тип,2.5,1,15,2100,Пусковая установка,Парашютная система,Электрический,,120,Снято с производства,"НПЦ ""НЕЛК""",,,,,
575,США,Самолетный тип,Нет данных,0.67,5,350,Пусковая установка,В сетку,Электрический,Нет данных,90,В производстве,Challenger Aerospace Group,Нет данных,Нет данных,Нет данных,,
576,Россия,Коптерный тип,5,,2.5,350,Вертикальный,Вертикальный,Электрический,,35,Снято с производства,"НПЦ ""НЕЛК""",,,,,
577,Россия,Самолетный тип,6,1.5,100,,С руки,"В сетку, Парашютная система",Электрический,,110,В разработке,Агентство Стратегических Инициатив и Сколково,2,,-25..+40,,
578,Канада,Самолетный тип,1.16,1,15,4500,"Пусковая установка, С руки",Парашютная система,Электрический,0.75,52,В разработке,Prioria Robotics Inc.,,,,,
579,США,Самолетный тип,3,0.33,10,4100,Пусковая установка,На фюзеляж,ДВС,2.44,80,В производстве,Pentagon Performance Inc,Нет данных,Нет данных,Нет данных,,
580,Россия,Самолетный тип,200,10,120,5100,Шасси,Шасси,ДВС,6.5,150,В производстве,"КБ ""ЛУЧ""",,,,,
581,США,Самолетный тип,4000,Нет данных,925,10700,Пусковая установка,На фюзеляж,Газотурбинный,4.8,450,В производстве,Lockheed,Нет данных,Нет данных,Нет данных,,
582,Китай,Самолетный тип,3000,6,290,14000,Шасси,Шасси,Газотурбинный,17.8,550,В разработке,Aviation Industry Corporation of China,200,,,,
583,США,Самолетный тип,7,1,50,4100,Пусковая установка,На фюзеляж,Электрический,1.4,180,В производстве,L-3 Unmanned Systems,Нет данных,Нет данных,Нет данных,,
584,Китай,Самолетный тип,7500,10,7000,18300,Шасси,Шасси,Газотурбинный,25,750,В разработке,Chengdu Aircraft Industry Corporation,650,,,,
585,США,Самолетный тип,570,0.5,150,5100,Пусковая установка,На фюзеляж,Газотурбинный,3.2,540,Снято с производства,Curtiss-Wright,Нет данных,Нет данных,Нет данных,,
586,Канада,Самолетный тип,3.55,0.75,2,2500,С руки,Парашютная система,Электрический,1.5,79,В разработке,PrecisionHawk,1.15,GPS,,,
